Classifier,Overall Accuracy,Kappa,Precision (Macro),Recall (Macro),F1-Score (Macro),F1-Score (Weighted)
Random Forest,0.9582294898530085,0.935745472526632,0.9508111440974722,0.9092348378100006,0.9284275968485829,0.957573296217068
k-NN,0.938494990081888,0.9054668021832346,0.9165271130675983,0.8820876859552266,0.8980077616505667,0.9377064105872879
LDA,0.8260642897105945,0.7234534473917861,0.7647199852358744,0.6714539819203734,0.6790676186971306,0.8078825476454011
