Classifier,Overall Accuracy,Kappa,Precision (Macro),Recall (Macro),F1-Score (Macro),F1-Score (Weighted)
Random Forest,0.8640582879812827,0.7379900101056598,0.5587029873652289,0.5528922706319686,0.5482523400624968,0.8969403007921223
k-NN,0.944903616296221,0.880378798200682,0.6016828013564094,0.5581487933993895,0.5724355978710766,0.939284248789214
LDA,0.9231727785972229,0.8283074428072313,0.6155888065148075,0.5252880519985101,0.5331814856795873,0.9123633015720597
